area,building,building_floors,chamber,construction_year,floor,market,price,standard,url
63.0,,,3,,8.0,wtórny,296100.0,,https://www.otodom.pl/oferta/doskonala-lokalizacja-ID3V3eE.html#e679aec94f
65.64,blok,2.0,4,,1.0,pierwotny,397122.0,,https://www.otodom.pl/oferta/ustawne-mieszkanie-z-loggia-katowice-65m2-ID3Rc12.html#e679aec94f
52.0,apartamentowiec,4.0,2,,1.0,wtórny,370000.0,do zamieszkania,https://www.otodom.pl/oferta/bazantowo-do-zamieszkania-taras-25m-widok-na-ogrod-ID3Kl0E.html#e679aec94f
74.0,blok,12.0,4,1983.0,1.0,wtórny,325000.0,,https://www.otodom.pl/oferta/do-negocjacji-sloneczne-74m2-ID3Pe5O.html#e679aec94f
39.0,kamienica,2.0,1,1910.0,1.0,wtórny,124000.0,do zamieszkania,https://www.otodom.pl/oferta/po-remoncie-idealne-na-start-ID3RbN2.html#e679aec94f
36.93,apartamentowiec,7.0,2,2021.0,4.0,pierwotny,369300.0,do wykończenia,https://www.otodom.pl/oferta/apartament-w-centrum-katowice-ID3V4OM.html#e679aec94f
36.93,apartamentowiec,7.0,2,2021.0,3.0,pierwotny,369300.0,do wykończenia,https://www.otodom.pl/oferta/apartament-w-centrum-katowice-ID3V4OI.html#e679aec94f
34.11,apartamentowiec,7.0,1,2021.0,2.0,pierwotny,341100.0,do wykończenia,https://www.otodom.pl/oferta/apartament-w-centrum-katowice-ID3V4OA.html#e679aec94f
32.81,apartamentowiec,7.0,1,2021.0,2.0,pierwotny,328100.0,do wykończenia,https://www.otodom.pl/oferta/apartament-w-centrum-katowice-ID3V4Za.html#e679aec94f
63.0,blok,11.0,3,1980.0,8.0,wtórny,296100.0,,https://www.otodom.pl/oferta/mieszkanie-z-garazem-blisko-parku-slaskiego-ID3V5gY.html#e679aec94f
46.8,blok,10.0,4,1980.0,3.0,wtórny,299000.0,,https://www.otodom.pl/oferta/mieszkanie-46-80-m-katowice-ID3V5wC.html#e679aec94f
93.0,,2.0,4,,1.0,wtórny,550000.0,,https://www.otodom.pl/oferta/2-poziomy-panewniki-ul-bojanowskiego-93m2-ogrodek-ID3V5LV.html#e679aec94f
88.0,,4.0,4,,2.0,wtórny,495000.0,,https://www.otodom.pl/oferta/chcesz-zarobicmusisz-to-miec-4-kawalerki-po-remo-ID3V500.html#e679aec94f
72.5,blok,3.0,4,,1.0,wtórny,369900.0,do zamieszkania,https://www.otodom.pl/oferta/atrakcyjne-sloneczne-mieszkanie-do-wprowadzenia-ID3V6gU.html#e679aec94f
91.0,apartamentowiec,5.0,4,,3.0,pierwotny,499500.0,,https://www.otodom.pl/oferta/4pok-z-naroznym-tarasem-przy-parku-slaskim-okazja-ID3V7kc.html#e679aec94f
72.0,apartamentowiec,5.0,3,,0.0,pierwotny,394200.0,,https://www.otodom.pl/oferta/3pok-z-ogrodem-oraz-tarasempark-slaskibezposrednio-ID3V7kg.html#e679aec94f
46.61,,5.0,2,,2.0,pierwotny,258500.0,,https://www.otodom.pl/oferta/park-slaki-2pok-kameralny-budynek-0-prowizji-ID3V7k4.html#e679aec94f
200.0,kamienica,5.0,8,1920.0,3.0,wtórny,699000.0,do remontu,https://www.otodom.pl/oferta/3-maja-centrum-jedyny-takie-mieszkanie-ID3V7lq.html#e679aec94f
39.0,blok,4.0,2,,3.0,wtórny,214000.0,do zamieszkania,https://www.otodom.pl/oferta/mieszkanie-39-m-katowice-ID3V63S.html#e679aec94f
135.0,,4.0,7,,1.0,wtórny,540000.0,do remontu,https://www.otodom.pl/oferta/7pok-na-placu-andrzeja-idealne-pod-inwestycje-ID3V7lu.html#e679aec94f
51.5,apartamentowiec,5.0,2,,0.0,pierwotny,277500.0,,https://www.otodom.pl/oferta/2pok-z-ogrodem-przy-parku-slaskimgotowe-w-tym-roku-ID3V7k8.html#e679aec94f
106.0,blok,4.0,4,2002.0,2.0,wtórny,490000.0,do zamieszkania,https://www.otodom.pl/oferta/apartament-4-pokojowy-na-zamknietym-osiedlu-ID3V8XV.html#d749d73d2a
103.0,,,4,2018.0,0.0,pierwotny,605190.0,,https://www.otodom.pl/oferta/jedyny-taki-apartament-na-rynku-ID3Vble.html#d749d73d2a
104.0,,,4,,0.0,wtórny,380000.0,,https://www.otodom.pl/oferta/2-osobne-lokale-os-tysiaclecia-parkingpromocja-ID3V7ly.html#d749d73d2a
59.07,apartamentowiec,10.0,3,2019.0,2.0,pierwotny,324885.0,do wykończenia,https://www.otodom.pl/oferta/apartament-dla-duzej-rodziny-z-garderoba-ID3V9ik.html#d749d73d2a
25.5,blok,10.0,1,,10.0,wtórny,145000.0,,https://www.otodom.pl/oferta/kawalerka-katowice-giszowiec-myslowicka-do-wejscia-ID3V7M4.html#d749d73d2a
45.14,blok,2.0,2,,0.0,pierwotny,275354.0,,https://www.otodom.pl/oferta/m2-z-ogrodkiem-45m2-malownicza-okolica-ID3Rc3e.html#d749d73d2a
55.0,blok,2.0,3,,0.0,pierwotny,321750.0,,https://www.otodom.pl/oferta/mieszkanie-3-pok-od-poludnia-55m2-ogrod-ID3Rc3q.html#d749d73d2a
53.0,apartamentowiec,4.0,2,2017.0,0.0,pierwotny,381073.0,do wykończenia,https://www.otodom.pl/oferta/mieszkanie-53-m2-dedykowane-seniorom-ID3jfTA.html#e679aec94f
50.47,blok,10.0,3,2018.0,2.0,pierwotny,273418.0,do wykończenia,https://www.otodom.pl/oferta/mieszkanie-w-piotrowicach-nowe-ID3Vd4A.html#d749d73d2a
43.0,kamienica,2.0,2,,2.0,wtórny,165000.0,do zamieszkania,https://www.otodom.pl/oferta/katowice-zaleze-ul-pokoju-ID3VgCk.html#d749d73d2a
48.2,kamienica,4.0,1,,1.0,wtórny,285000.0,do zamieszkania,https://www.otodom.pl/oferta/industrialne-studio-w-samym-centrum-katowic-gotowe-ID3VdGY.html#d749d73d2a
59.0,blok,4.0,3,,0.0,wtórny,249999.0,do wykończenia,https://www.otodom.pl/oferta/katowice-srodmiescie-ul-rybnicka-ID3Vgxa.html#d749d73d2a
75.0,blok,8.0,4,,7.0,wtórny,278999.0,do zamieszkania,https://www.otodom.pl/oferta/katowice-ochojec-ul-stanislawa-letowskiego-ID3Vgxy.html#d749d73d2a
74.0,blok,10.0,4,2002.0,6.0,wtórny,365000.0,,https://www.otodom.pl/oferta/katowice-koszutka-modrzewiowa-4-pok-74m2-balkon-ID3VgQ4.html#d749d73d2a
49.02,,2.0,3,1900.0,1.0,wtórny,179900.0,,https://www.otodom.pl/oferta/mieszkanie-katowice-zaleze-okazja-ID3VeEg.html#d749d73d2a
74.6,,2.0,3,,1.0,wtórny,315000.0,,https://www.otodom.pl/oferta/katowice-okolica-ul-huculskiej-ID3Wxl6.html#d749d73d2a
34.11,apartamentowiec,6.0,2,2019.0,3.0,pierwotny,355000.0,do wykończenia,https://www.otodom.pl/oferta/mieszkanie-z-balkonem-ul-opolska-srodmiescie-ID3Vhl6.html#d749d73d2a
33.0,apartamentowiec,6.0,2,2019.0,5.0,pierwotny,355000.0,do wykończenia,https://www.otodom.pl/oferta/mieszkanie-z-balkonem-ul-opolska-srodmiescie-ID3VhkI.html#d749d73d2a
33.0,apartamentowiec,6.0,2,2019.0,6.0,pierwotny,355000.0,do wykończenia,https://www.otodom.pl/oferta/mieszkanie-z-balkonem-ul-opolska-srodmiescie-ID3VhkU.html#d749d73d2a
34.0,apartamentowiec,6.0,2,2019.0,3.0,pierwotny,355000.0,do wykończenia,https://www.otodom.pl/oferta/mieszkanie-z-balkonem-ul-opolska-srodmiescie-ID3VhkY.html#d749d73d2a
50.7,,18.0,2,,11.0,wtórny,240000.0,,https://www.otodom.pl/oferta/katowice-tysiaclecie-2-pokoje-50-70-m2-balkon-ID3Vhys.html#d749d73d2a
34.46,apartamentowiec,6.0,2,2019.0,3.0,pierwotny,355000.0,do wykończenia,https://www.otodom.pl/oferta/mieszkanie-z-balkonem-ul-opolska-srodmiescie-ID3Vhla.html#d749d73d2a
73.3,apartamentowiec,2.0,3,2009.0,1.0,wtórny,479000.0,do zamieszkania,https://www.otodom.pl/oferta/konwaliowa-dolina-3-pokoje-73-3m2-ID3Vi0Q.html#d749d73d2a
43.0,blok,4.0,2,1970.0,1.0,wtórny,199000.0,do remontu,https://www.otodom.pl/oferta/sloneczne-mieszkanie-na-1-pietrze-z-garazem-ID3Vimc.html#d749d73d2a
49.0,blok,4.0,2,,3.0,wtórny,228900.0,,https://www.otodom.pl/oferta/zach-mieszkanie-w-spokojnej-okolicy-po-remoncie-ID3Vj80.html#d749d73d2a
35.8,blok,13.0,2,1980.0,8.0,wtórny,207000.0,,https://www.otodom.pl/oferta/tysiaclecia-z-pieknym-widokiem-zadzwon-teraz-ID3ViYk.html#d749d73d2a
49.0,,,3,,0.0,wtórny,295000.0,,https://www.otodom.pl/oferta/nowoczesnie-urzadzone-mieszkanie-ID3VlPV.html#d749d73d2a
62.0,,,3,,2.0,wtórny,338000.0,,https://www.otodom.pl/oferta/umeblowanie-w-cenie-ID3VlPS.html#d749d73d2a
62.25,kamienica,2.0,3,,1.0,wtórny,369000.0,,https://www.otodom.pl/oferta/mieszkanie-62-25-m-katowice-ID3ViJy.html#d749d73d2a
49.84,apartamentowiec,7.0,3,2021.0,6.0,pierwotny,413672.0,do wykończenia,https://www.otodom.pl/oferta/nowy-2-pokojowy-apartament-przy-filharmonii-ID3VmeM.html#d749d73d2a
62.0,,18.0,2,,3.0,wtórny,290000.0,,https://www.otodom.pl/oferta/mieszkanie-62-m-katowice-ID3Vn3S.html#d749d73d2a
72.9,blok,4.0,3,,2.0,wtórny,364500.0,do zamieszkania,https://www.otodom.pl/oferta/3-pokoje-katowice-okolice-awf-ID3Vo8Q.html#d749d73d2a
61.58,blok,4.0,3,,0.0,wtórny,299000.0,do zamieszkania,https://www.otodom.pl/oferta/po-generalnym-remoncie-ID3VpeU.html#d749d73d2a
45.14,blok,2.0,2,,0.0,pierwotny,264069.0,,https://www.otodom.pl/oferta/mieszkanie-z-ogrodkiem-w-spokojnej-okolicy-ID3RbZG.html#d749d73d2a
28.2,apartamentowiec,6.0,1,2019.0,3.0,pierwotny,273540.0,,https://www.otodom.pl/oferta/0-modna-okolica-inwestycyjna-kawalerka-w-centrum-ID3Vr0M.html#d749d73d2a
58.89,blok,2.0,3,,0.0,pierwotny,335673.0,,https://www.otodom.pl/oferta/komfortowe-mieszkanie-z-duzym-ogrodem-ID3RbYo.html#d749d73d2a
103.0,blok,4.0,4,1990.0,4.0,wtórny,479000.0,do zamieszkania,https://www.otodom.pl/oferta/mieszkanie-103-m-katowice-ID3Vpmo.html#d749d73d2a
49.84,apartamentowiec,6.0,2,2020.0,3.0,pierwotny,413672.0,,https://www.otodom.pl/oferta/ostatnie-2-pokoje-w-najnowszej-inwestycji-ID3Vr0I.html#d749d73d2a
45.14,blok,2.0,2,,0.0,pierwotny,264069.0,,https://www.otodom.pl/oferta/przestonne-m2-45m2-ogrodek-w-cenie-ID3Rc2A.html#d749d73d2a
52.0,,2.0,2,,2.0,wtórny,156000.0,,https://www.otodom.pl/oferta/komfortowe-przestronne-z-pelnym-wyposazeniem-ID3VrA8.html#d749d73d2a
53.0,blok,18.0,2,,11.0,wtórny,330000.0,,https://www.otodom.pl/oferta/mieszkanie-53-m-katowice-ID3VrEs.html#d749d73d2a
55.0,blok,2.0,3,,0.0,pierwotny,321750.0,,https://www.otodom.pl/oferta/ustawne-mieszkanie-3-pokojowe-z-ogrodkiem-ID3Rc0c.html#d749d73d2a
45.14,blok,2.0,2,,0.0,pierwotny,264069.0,,https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-z-duzym-ogrodkiem-ID3RbYI.html#d749d73d2a
45.14,blok,2.0,2,,0.0,pierwotny,255041.0,,https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-z-duzym-ogrodkiem-ID3RbZq.html#d749d73d2a
45.14,blok,2.0,2,,0.0,pierwotny,250527.0,,https://www.otodom.pl/oferta/mieszkanie-z-ogrodkiem-w-spokojnej-okolicy-ID3Rc08.html#d749d73d2a
45.0,,3.0,3,,3.0,wtórny,270000.0,,https://www.otodom.pl/oferta/zarabiajace-mieszkanie-inwestycyjne-ligota-ID3VrTi.html#d749d73d2a
70.24,blok,5.0,3,2019.0,2.0,pierwotny,400368.0,do wykończenia,https://www.otodom.pl/oferta/duze-m3-na-nowym-osiedlu-niski-blok-ID3VrJq.html#d749d73d2a
